customer_id,customer_name,customer_email,customer_mobile,customer_city,customer_age,customer_credit_score
201,Customer 201,customer201@gmail.com,9100000358,Delhi,25,650
202,Customer 202,customer202@gmail.com,9100000515,Mumbai,26,651
203,Customer 203,customer203@gmail.com,9100000672,Pune,27,652
204,Customer 204,customer204@gmail.com,9100000829,Jaipur,28,653
205,Customer 205,customer205@gmail.com,9100000986,Bengaluru,29,654
206,Customer 206,customer206@gmail.com,9100001143,Chennai,30,655
207,Customer 207,customer207@gmail.com,9100001300,Hyderabad,31,656
208,Customer 208,customer208@gmail.com,9100001457,Kolkata,32,657
209,Customer 209,customer209@gmail.com,9100001614,Ahmedabad,33,658
210,Customer 210,customer210@gmail.com,9100001771,Surat,34,659
211,Customer 211,customer211@gmail.com,9100001928,Noida,35,660
212,Customer 212,customer212@gmail.com,9100002085,Gurgaon,36,661
213,Customer 213,customer213@gmail.com,9100002242,Indore,37,662
214,Customer 214,customer214@gmail.com,9100002399,Bhopal,38,663
215,Customer 215,customer215@gmail.com,9100002556,Nagpur,39,664
216,Customer 216,customer216@gmail.com,9100002713,Nashik,40,665
217,Customer 217,customer217@gmail.com,9100002870,Delhi,41,666
218,Customer 218,customer218@gmail.com,9100003027,Mumbai,42,667
219,Customer 219,customer219@gmail.com,9100003184,Pune,43,668
220,Customer 220,customer220@gmail.com,9100003341,Jaipur,44,669
221,Customer 221,customer221@gmail.com,9100003498,Bengaluru,45,670
222,Customer 222,customer222@gmail.com,9100003655,Chennai,46,671
223,Customer 223,customer223@gmail.com,9100003812,Hyderabad,47,672
224,Customer 224,customer224@gmail.com,9100003969,Kolkata,48,673
225,Customer 225,customer225@gmail.com,9100004126,Ahmedabad,49,674
226,Customer 226,customer226@gmail.com,9100004283,Surat,50,675
227,Customer 227,customer227@gmail.com,9100004440,Noida,51,676
228,Customer 228,customer228@gmail.com,9100004597,Gurgaon,52,677
229,Customer 229,customer229@gmail.com,9100004754,Indore,53,678
230,Customer 230,customer230@gmail.com,9100004911,Bhopal,54,679
231,Customer 231,customer231@gmail.com,9100005068,Nagpur,55,680
232,Customer 232,customer232@gmail.com,9100005225,Nashik,56,681
233,Customer 233,customer233@gmail.com,9100005382,Delhi,57,682
234,Customer 234,customer234@gmail.com,9100005539,Mumbai,58,683
235,Customer 235,customer235@gmail.com,9100005696,Pune,59,684
